image_name,L_FHC_x,L_FHC_y,R_FHC_x,R_FHC_y,L_CAR_x,L_CAR_y,R_CAR_x,R_CAR_y
36_hip0.jpg,0.3701171875,0.4578125,0.6203125,0.4392578125,0.3625,0.432421875,0.63203125,0.4115234375
62_hip0.jpg,0.3634765625,0.3939453125,0.641015625,0.415625,0.3650390625,0.363671875,0.645703125,0.3830078125
60_hip0.jpg,0.344140625,0.7693359375,0.65234375,0.778125,0.32578125,0.7298828125,0.6681640625,0.734375
49_hip0.jpg,0.3705078125,0.551953125,0.620703125,0.5265625,0.3736328125,0.5201171875,0.608203125,0.4986328125
23_hip0.jpg,0.3884765625,0.4390625,0.6357421875,0.4421875,0.3705078125,0.4126953125,0.6513671875,0.41953125
13_hip0.jpg,0.37890625,0.437890625,0.6083984375,0.4421875,0.368359375,0.411328125,0.62421875,0.40859375
32_hip0.jpg,0.3845703125,0.390625,0.6248046875,0.446875,0.376953125,0.3623046875,0.6494140625,0.417578125
7_hip0.jpg,0.2783203125,0.623828125,0.6173828125,0.643359375,0.270703125,0.576953125,0.627734375,0.59609375
39_hip0.jpg,0.3341796875,0.3935546875,0.624609375,0.4046875,0.34140625,0.3658203125,0.6224609375,0.37734375
58_hip0.jpg,0.362109375,0.433984375,0.6373046875,0.4345703125,0.3552734375,0.41015625,0.640625,0.4107421875
93_hip0.jpg,0.39765625,0.7669921875,0.6986328125,0.7630859375,0.3904296875,0.7232421875,0.7083984375,0.7171875
100_hip0.jpg,0.3154296875,0.3482421875,0.6515625,0.328515625,0.30078125,0.314453125,0.6609375,0.29453125
98_hip0.jpg,0.336328125,0.4376953125,0.628125,0.4564453125,0.3451171875,0.3994140625,0.640625,0.4291015625
89_hip0.jpg,0.3408203125,0.416015625,0.62890625,0.4525390625,0.33359375,0.387109375,0.64375,0.4228515625
22_hip0.jpg,0.346875,0.448828125,0.6525390625,0.4802734375,0.3322265625,0.4203125,0.6654296875,0.45390625
31_hip0.jpg,0.3953125,0.4677734375,0.6443359375,0.4232421875,0.3794921875,0.43671875,0.642578125,0.38671875
61_hip0.jpg,0.3337890625,0.5837890625,0.617578125,0.5859375,0.33125,0.5498046875,0.6240234375,0.5451171875
15_hip0.jpg,0.394140625,0.67890625,0.6265625,0.64765625,0.3896484375,0.6400390625,0.620703125,0.610546875
51_hip0.jpg,0.357421875,0.7115234375,0.6396484375,0.6958984375,0.3515625,0.674609375,0.6416015625,0.6625
64_hip0.jpg,0.3447265625,0.5615234375,0.6326171875,0.5203125,0.3373046875,0.5212890625,0.63671875,0.479296875
14_hip0.jpg,0.3767578125,0.5091796875,0.6193359375,0.5064453125,0.365234375,0.4826171875,0.630078125,0.4814453125
29_hip0.jpg,0.348828125,0.737890625,0.6208984375,0.7287109375,0.32890625,0.6962890625,0.6296875,0.6923828125
43_hip0.jpg,0.398046875,0.6595703125,0.6517578125,0.6318359375,0.38828125,0.6248046875,0.6541015625,0.5943359375
96_hip0.jpg,0.3591796875,0.6630859375,0.63359375,0.6826171875,0.3537109375,0.6193359375,0.64453125,0.6416015625
67_hip0.jpg,0.37734375,0.495703125,0.7064453125,0.487109375,0.363671875,0.4599609375,0.7146484375,0.4541015625
77_hip0.jpg,0.350390625,0.4416015625,0.641015625,0.4111328125,0.337109375,0.411328125,0.6453125,0.3771484375
83_hip0.jpg,0.352734375,0.415625,0.6501953125,0.43515625,0.3490234375,0.3822265625,0.6599609375,0.4037109375
41_hip0.jpg,0.375390625,0.415625,0.6146484375,0.4068359375,0.3654296875,0.384765625,0.6208984375,0.3828125
45_hip0.jpg,0.3708984375,0.490234375,0.6298828125,0.541015625,0.36171875,0.45859375,0.646875,0.515234375
79_hip0.jpg,0.3802734375,0.51875,0.6341796875,0.519921875,0.36796875,0.4892578125,0.64921875,0.4890625
19_hip0.jpg,0.34453125,0.740625,0.6314453125,0.75078125,0.3302734375,0.6984375,0.6490234375,0.7099609375
53_hip0.jpg,0.3818359375,0.6453125,0.6296875,0.6646484375,0.3705078125,0.610546875,0.6435546875,0.634375
21_hip0.jpg,0.3509765625,0.68203125,0.633984375,0.7048828125,0.3345703125,0.6384765625,0.6478515625,0.6642578125
2_hip0.jpg,0.3791015625,0.360546875,0.6935546875,0.39296875,0.4009765625,0.330859375,0.6921875,0.349609375
71_hip0.jpg,0.3818359375,0.6916015625,0.6451171875,0.702734375,0.3759765625,0.651171875,0.654296875,0.6650390625
25_hip0.jpg,0.3583984375,0.7462890625,0.68203125,0.7548828125,0.342578125,0.7072265625,0.696875,0.715234375
76_hip0.jpg,0.374609375,0.4220703125,0.6283203125,0.419140625,0.3609375,0.3958984375,0.6392578125,0.39140625
16_hip0.jpg,0.3794921875,0.540234375,0.6369140625,0.5517578125,0.381640625,0.4951171875,0.63984375,0.50703125
85_hip0.jpg,0.3353515625,0.471875,0.68984375,0.4359375,0.3265625,0.43359375,0.6830078125,0.40703125
46_hip0.jpg,0.3580078125,0.4701171875,0.65234375,0.4736328125,0.35625,0.4294921875,0.6546875,0.435546875
99_hip0.jpg,0.32265625,0.3572265625,0.6779296875,0.3427734375,0.3068359375,0.3267578125,0.6841796875,0.3130859375
42_hip0.jpg,0.3509765625,0.4505859375,0.5900390625,0.4330078125,0.34609375,0.421484375,0.5904296875,0.405078125
28_hip0.jpg,0.3515625,0.5267578125,0.6455078125,0.526171875,0.3369140625,0.490625,0.6578125,0.490234375
38_hip0.jpg,0.358203125,0.5984375,0.681640625,0.6150390625,0.3638671875,0.5560546875,0.6708984375,0.576171875
59_hip0.jpg,0.36564453125,0.61984375,0.6166015625,0.62109375,0.36244140625,0.5820703125,0.62431640625,0.583984375
33_hip0.jpg,0.3494140625,0.742578125,0.6578125,0.7095703125,0.333984375,0.6982421875,0.665234375,0.6630859375
5_hip0.jpg,0.3666015625,0.4525390625,0.6310546875,0.4408203125,0.359765625,0.415625,0.63046875,0.403515625
54_hip0.jpg,0.2794921875,0.3875,0.60703125,0.3890625,0.27265625,0.3578125,0.6125,0.3583984375
95_hip0.jpg,0.408984375,0.5009765625,0.65234375,0.52578125,0.4029296875,0.4708984375,0.66015625,0.4931640625
74_hip0.jpg,0.3611328125,0.4158203125,0.60859375,0.444921875,0.3548828125,0.38671875,0.623828125,0.417578125
26_hip0.jpg,0.3779296875,0.403125,0.6234375,0.426171875,0.3640625,0.3771484375,0.6271484375,0.396484375
4_hip0.jpg,0.3609375,0.637109375,0.6302734375,0.675,0.362109375,0.5880859375,0.6416015625,0.6296875
35_hip0.jpg,0.3701171875,0.446875,0.635546875,0.44375,0.3552734375,0.41875,0.6513671875,0.415625
84_hip0.jpg,0.369921875,0.425390625,0.653125,0.421875,0.3638671875,0.3953125,0.65859375,0.38984375
48_hip0.jpg,0.38515625,0.6390625,0.628125,0.6861328125,0.4041015625,0.61015625,0.6296875,0.6474609375
11_hip0.jpg,0.321875,0.5998046875,0.730078125,0.6232421875,0.3328125,0.5486328125,0.7314453125,0.5763671875
97_hip0.jpg,0.42109375,0.7080078125,0.6431640625,0.687890625,0.40859375,0.669140625,0.649609375,0.6482421875
50_hip0.jpg,0.3849609375,0.6361328125,0.629296875,0.684765625,0.40234375,0.6076171875,0.6298828125,0.648046875
56_hip0.jpg,0.3625,0.4357421875,0.6392578125,0.4392578125,0.35625,0.4095703125,0.64609375,0.4138671875
91_hip0.jpg,0.3599609375,0.5283203125,0.669140625,0.49765625,0.34140625,0.499609375,0.6755859375,0.4681640625
20_hip0.jpg,0.2724609375,0.4865234375,0.582421875,0.537109375,0.264453125,0.449609375,0.60546875,0.5033203125
9_hip0.jpg,0.3693359375,0.4177734375,0.606640625,0.4248046875,0.360546875,0.388671875,0.616796875,0.3978515625
17_hip0.jpg,0.364453125,0.4359375,0.694140625,0.4236328125,0.3505859375,0.404296875,0.7033203125,0.3921875
40_hip0.jpg,0.366015625,0.4099609375,0.655078125,0.4162109375,0.3509765625,0.3837890625,0.6703125,0.389453125
70_hip0.jpg,0.3423828125,0.418359375,0.6228515625,0.405078125,0.3310546875,0.3880859375,0.63046875,0.3736328125
18_hip0.jpg,0.352734375,0.4818359375,0.6791015625,0.5125,0.3421875,0.4447265625,0.7046875,0.4787109375
75_hip0.jpg,0.2962890625,0.5220703125,0.6103515625,0.5068359375,0.28359375,0.4892578125,0.61953125,0.4724609375
88_hip0.jpg,0.3716796875,0.69765625,0.65078125,0.692578125,0.3640625,0.6595703125,0.65546875,0.6505859375
8_hip0.jpg,0.367578125,0.4197265625,0.60625,0.4240234375,0.3607421875,0.3896484375,0.6173828125,0.3970703125
69_hip0.jpg,0.356640625,0.769140625,0.739453125,0.7521484375,0.328125,0.730859375,0.7578125,0.709375
87_hip0.jpg,0.3833984375,0.4443359375,0.6310546875,0.426953125,0.3755859375,0.415234375,0.631640625,0.397265625
81_hip0.jpg,0.39765625,0.4447265625,0.6291015625,0.4205078125,0.3759765625,0.41875,0.6380859375,0.393359375
68_hip0.jpg,0.351953125,0.2173828125,0.6814453125,0.1880859375,0.32109375,0.1837890625,0.69375,0.14921875
52_hip0.jpg,0.3517578125,0.3474609375,0.66953125,0.3275390625,0.3279296875,0.3068359375,0.665234375,0.2953125
63_hip0.jpg,0.3669921875,0.4603515625,0.6287109375,0.4408203125,0.348828125,0.4330078125,0.638671875,0.41484375
47_hip0.jpg,0.3646484375,0.43046875,0.631640625,0.4263671875,0.3494140625,0.4,0.640234375,0.3947265625
92_hip0.jpg,0.388671875,0.3904296875,0.6626953125,0.3845703125,0.3787109375,0.3580078125,0.67109375,0.351171875
3_hip0.jpg,0.3810546875,0.6958984375,0.6337890625,0.753125,0.38203125,0.6419921875,0.648828125,0.7056640625
